id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794495,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794497,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794499,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794501,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794503,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794505,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794507,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794509,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794511,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794513,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794515,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794517,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794519,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794521,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794523,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794525,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794527,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794529,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794531,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794533,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794535,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794537,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794539,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794541,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794543,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794545,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794547,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794549,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794551,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794553,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794555,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794557,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794559,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794561,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794563,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794565,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794567,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794569,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794571,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794573,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794575,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794577,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794579,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794581,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794583,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794585,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794587,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794589,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794591,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794593,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794595,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794597,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794599,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794601,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794603,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794605,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794607,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794609,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794611,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794613,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794615,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794617,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794619,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794621,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794623,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794625,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794627,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794629,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794631,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794633,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794635,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794637,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794639,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794641,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794643,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794645,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794647,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794649,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794651,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794653,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794655,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794657,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794659,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794661,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794663,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794665,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794667,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794669,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794671,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794673,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794675,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794677,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794679,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794681,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794683,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794685,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794687,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794689,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794691,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794693,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794695,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794697,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794699,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794701,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794703,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794705,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794707,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794709,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794711,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794713,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794715,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794717,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794719,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794721,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794723,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794725,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794727,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794729,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794731,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794733,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794735,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794737,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794739,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794741,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794743,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794745,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794747,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794749,510,34,2,1090.00,163.50,2,2000.00,below_min_total
1794751,510,40,2,1105.00,165.75,2,2000.00,below_min_total
1794753,510,41,2,1120.00,168.00,2,2000.00,below_min_total
1794755,510,23,2,1060.00,159.00,2,2000.00,below_min_total
1794757,510,24,2,1075.00,161.25,2,2000.00,below_min_total
1794759,510,34,2,1090.00,163.50,2,2000.00,below_min_total
